token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
funny and,7342,812,342,4.741456050935851e-05,8.137157257939796e-05,-0.5401304867576879,0.004155799500097265,-8.378598848995718
and funny,2561,584,226,3.410111248456326e-05,5.3771857903344844e-05,-0.45543983015462075,0.006137403008902985,-5.813513534520407
unfunny,17929,210,99,1.22623863386272e-05,2.3554928904562565e-05,-0.6528097286039003,0.014863209383365035,-5.354640518715177
<pronoun> funny,1208,401,158,2.341531867518813e-05,3.759271481738268e-05,-0.4734339231601865,0.008823174628362447,-5.040190320397603
s funny,14202,162,57,9.459555175512411e-06,1.3561928763232992e-05,-0.3602451908723854,0.023716991928311733,-2.339205567733316
funny <pronoun>,7338,336,100,1.961981814180352e-05,2.3792857479356127e-05,-0.19284938182877553,0.012976484578542998,-1.6929328165077886
funny how,7354,343,93,2.0028564353091093e-05,2.21273574558012e-05,-0.0996573441272357,0.013668433857069628,-0.85241273860248
funny if,7356,89,26,5.196916114942004e-06,6.186142944632593e-06,-0.17424734341094883,0.04969778118351185,-0.7816236034908324
not funny,12225,349,91,2.0378918248480444e-05,2.1651500306214077e-05,-0.06057506360505549,0.013854634168498116,-0.5146314788034921
funny at,7345,148,39,8.642062752937264e-06,9.27921441694889e-06,-0.07113621418589666,0.03239807255667443,-0.39521294550626657
very funny,18096,209,53,1.2203994022728976e-05,1.2610214464058747e-05,-0.03274427990483453,0.023652905193738465,-0.21290859723324826
so funny,15193,1773,440,0.0001035295760875525,0.00010468857290916696,-0.011133796340841329,0.002837038848010478,-0.20903096793040526
funny i,7355,545,134,3.1823812164532496e-05,3.188242902233721e-05,-0.0018402821632577115,0.009297843402614737,-0.0190850500450667
funny that,7367,177,43,1.0335439913985783e-05,1.0230928716123135e-05,0.010163500695306027,0.028905821883632294,0.0597792772652927
sooo funny,15374,118,28,6.890293275990522e-06,6.662000094219716e-06,0.03369411702793279,0.04418914908541509,0.16028624709383207
pretty funny,13512,183,43,1.0685793809375132e-05,1.0230928716123135e-05,0.043500264404768174,0.028720585104537198,0.2566819057556805
really funny,13846,242,57,1.4130940447370392e-05,1.3561928763232992e-05,0.041100800233431656,0.021676382824780915,0.2791623666354226
funny ?,7339,103,23,6.01440853751715e-06,5.472357220251909e-06,0.09444907576515504,0.05318728333180951,0.4095376259039147
funny ðŸ˜‚,7374,257,56,1.5006825185843764e-05,1.3324000188439431e-05,0.11893983296015698,0.021748484863896602,0.8065156905777989
funny on,7361,95,19,5.547270010331352e-06,4.520642921077664e-06,0.2046526749219364,0.06315817566083871,0.8143341299051882
funny guest,7351,86,17,5.021739167247329e-06,4.044785771490541e-06,0.21634866214369097,0.07045171534753522,0.8150953735377369
funny this,7370,177,35,1.0335439913985783e-05,8.327500117774645e-06,0.21601741211319592,0.03422143397761077,1.1677225232289126
it funny,9688,219,44,1.2787917181711223e-05,1.0468857290916696e-05,0.20009815194881675,0.02729377247062037,1.2111872606012806
even funny,6390,108,19,6.306370117008274e-06,4.520642921077664e-06,0.3329077363416868,0.06189111752400568,1.338165181274388
funny ...,7336,201,39,1.1736855495543178e-05,9.27921441694889e-06,0.23495944795853596,0.03061643866620756,1.342813124251983
it's funny,9815,242,48,1.4130940447370392e-05,1.1420571590090942e-05,0.21295315947645577,0.024965854929089343,1.347754735850292
funny when,7373,157,29,9.167593596021287e-06,6.899928669013277e-06,0.2841659587826282,0.040852470972016164,1.4059273711856632
funny be,7346,96,16,5.605662326229578e-06,3.8068571966969803e-06,0.38697495544857397,0.07291694190646998,1.433074062729332
funny get,7350,119,20,6.948685591888747e-06,4.758571495871225e-06,0.37860709950124516,0.05840364091392982,1.5666384902492445
how funny,8898,105,17,6.1311931693136e-06,4.044785771490541e-06,0.4159627714289851,0.06834761494634424,1.591082800544999
hella funny,8565,120,20,7.007077907786971e-06,4.758571495871225e-06,0.3869754051545282,0.05833361278989702,1.60222655858223
funny lol,7359,145,25,8.46688580524259e-06,5.948214369839032e-06,0.353074133295328,0.04689683491488359,1.630399881904337
funny people,7364,98,15,5.722446958026027e-06,3.5689286219034193e-06,0.47213309285997873,0.07687102052266832,1.7028763691576527
super funny,15755,139,22,8.116531909853241e-06,5.234428645458348e-06,0.4386480339898977,0.052649070394460915,1.9117048127393301
funny !,7335,762,158,4.4494944714447266e-05,3.759271481738268e-05,0.16857216968068833,0.00764174441226172,1.928366697014494
damn funny,5293,145,23,8.46688580524259e-06,5.472357220251909e-06,0.43645619380077605,0.050375093651732275,1.9446109536436689
funny than,7366,151,24,8.81723970063194e-06,5.710285795045471e-06,0.4344427868128822,0.048289464941039764,1.9769987477364779
funny part,7363,94,12,5.488877694433128e-06,2.8551428975227354e-06,0.6536043658486594,0.09397189245200527,2.132141179062349
that funny,16158,110,15,6.423154748804724e-06,3.5689286219034193e-06,0.5876466424023352,0.07575784554769603,2.135022476295137
funny but,7347,312,55,1.8218402560246125e-05,1.308607161364587e-05,0.33088883818975745,0.021387236846914265,2.2625843454509327
funny as,7343,117,15,6.831900960092298e-06,3.5689286219034193e-06,0.6493405978940299,0.07521394357740349,2.3676820222541552
! funny,82,231,36,1.348862497248992e-05,8.565428692568206e-06,0.45411736267943503,0.032107068536527936,2.534356930384345
funny asf,7344,161,22,9.401162859614187e-06,5.234428645458348e-06,0.585579702585953,0.051666003842963125,2.5762237450204446
funny the,7368,120,14,7.007077907786971e-06,3.331000047109858e-06,0.7436516537628304,0.07976216859317267,2.6331225446299946
funny video,7372,116,13,6.773508644194072e-06,3.0930714723162964e-06,0.7838580618965132,0.08554402666228235,2.680048076629997
funny in,7357,119,13,6.948685591888747e-06,3.0930714723162964e-06,0.8093915281275663,0.0853266975318136,2.7708702244060484
funny to,7371,317,51,1.851036413973725e-05,1.2134357314471625e-05,0.42229619427972587,0.022762706789275555,2.799014933145065
funny interview,7358,105,9,6.1311931693136e-06,2.1413571731420516e-06,1.0519531805994937,0.12063515048462889,3.0287224443366108
fuck funny,7227,183,21,1.0685793809375132e-05,4.996500070664787e-06,0.7601829621675051,0.05308380284180689,3.2994163172435873
fucking funny,7297,198,21,1.1561678547848503e-05,4.996500070664787e-06,0.8389646820175809,0.052669825446992745,3.655634262792723
funny hot,7353,224,23,1.3079878761202346e-05,5.472357220251909e-06,0.8713729526120986,0.04794282078416367,3.9796262232338906
funny af,7341,460,66,2.686046531318339e-05,1.5703285936375043e-05,0.5367965457265029,0.017325718742998236,4.0781583273711774
funny <name>,7337,279,29,1.6291456135604707e-05,6.899928669013277e-06,0.8591388581774382,0.03806726697831949,4.403393665169732
too funny,17663,437,55,2.5517442047524222e-05,1.308607161364587e-05,0.6678260357510535,0.020470436280212657,4.667666268058375
<name> funny,889,205,11,1.1970424759136076e-05,2.617214322729174e-06,1.5203371492617528,0.09578735207411015,4.912310652769527
funny man,7360,192,5,1.1211324652459155e-05,1.1896428739678063e-06,2.2432796430558355,0.20520825994622888,4.9520611215965165
a funny,1766,546,65,3.188220448043072e-05,1.5465357361581484e-05,0.7234616957308191,0.017216406666010656,5.513714641427502
funny thing,7369,373,32,2.1780333830037837e-05,7.613714393393961e-06,1.0510701020873494,0.03393124279125072,5.7060004201257755
funny dude,7348,297,4,1.7342517821772753e-05,9.517142991742451e-07,2.9026646489172947,0.25336641749571814,5.766633338262929
be funny,3357,2705,482,0.00015795121450469797,0.00011468157305049654,0.3201700588994161,0.0024446702575282643,6.475459201908907
funny a,7340,1136,160,6.633367086038333e-05,3.80685719669698e-05,0.5553366852384052,0.007130575603231839,6.5764885634717105
funny one,7362,514,43,3.0013650371687527e-05,1.0230928716123135e-05,1.0762563372595864,0.025201621347475275,6.7795595634236525
funny shit,7365,379,12,2.2130687725427184e-05,2.8551428975227354e-06,2.0478613126633256,0.08597202464855458,6.98428518445269
funny guy,7352,402,10,2.3473710991086356e-05,2.3792857479356126e-06,2.2891001675901936,0.10248766522374433,7.150377938860712
funny episode,7349,710,50,4.145854428773958e-05,1.1896428739678064e-05,1.2484848259380499,0.021408732706390498,8.532725772349156
the funny,16491,2496,174,0.000145747220481969,4.139957201407966e-05,1.2587070792762347,0.0061480596467410695,16.05297904039188
funny,7334,17214,3027,0.001005165325872041,0.00072020979590011,0.3336498802230352,0.00038874878728447927,16.922185430190694
